id_recette,url,titre,categorie_principale,sous_categorie,temps_cuisson,temps_total,nombre_personnes,ingredients,instructions,est_laitier,symptomes_contre_indiques,teneur_en_polyphenols
11,https://www.choumicha.ma/recette/1562-pates-au-pistou.html,Pâtes au pistou,Saveurs du maroc,Plats principaux,0m,0m,6,Pour le pistou à la roquette et aux noix : | 2 bottes de roquette (environ 100g) | 2 gousses d'ail pelées et dégermées | 1 c. à café de sel | 80 g de noix concassées | 80 g de parmesan râpé | 15 cl d'huile d'olive extra vierge | Pour le pistou au basilic et aux pignons : | 2 bottes de basilic (environ 100g) | 2 gousses d'ail pelées et dégermées | 1 c. à café de sel | 80 g de pignons moulus | 80 g de parmesan râpé | 15 cl d'huile d'olive extra vierge,"Préparation | Pistou à la roquette et aux noix : | Blanchir les feuilles de roquette dans une eau bouillante salée pendant 30 secondes (après le retour de l'ébullition). | Égoutter les feuilles de roquette et les plonger dans une eau glacée pour stopper la cuisson. | Égoutter la roquette et l'éponger avec du papier absorbant. | Dans un mortier, piler les gousses d'ail avec le sel puis rajouter les feuilles de roquette. | Réduire le tout en purée en incorporant l'huile d'olive, le parmesan et les noix. | Cuire des pâtes au choix, les égoutter et les enduire encore chaudes de pistou à la roquette et aux noix. | Décorer le plat avec des copeaux de parmesan et des noix concassées. | Pistou au basilic et aux pignons : | Blanchir les feuilles de basilic dans une eau bouillante salée pendant 30 secondes (après le retour de l'ébullition). | Égoutter les feuilles de basilic et les plonger dans une eau glacée pour stopper la cuisson. | Égoutter les feuilles de basilic et les éponger avec du papier absorbant. | Dans un mortier, piler les gousses d'ail avec le sel puis rajouter les feuilles de basilic. | Réduire le tout en purée en incorporant l'huile d'olive, le parmesan et les pignons moulus. | Cuire des pâtes au choix, les égoutter et les enduire encore chaudes de pistou au basilic et aux pignons. | Décorer le plat avec des copeaux de parmesan et des pignons torréfiés. | Bon à savoir : | verser le pistou dans un bocal et le recouvrir d'huile d'olive, ainsi, il peut se conserver pendant une semaine au frais.",False,1|2|3|6,89.75
12,https://www.choumicha.ma/recette/1564-paella-aux-pates-langues-doiseaux.html,Paella aux pâtes langues d'oiseaux,Saveurs du maroc,Poissons et crustacés,0m,0m,1,"250 g de pâtes langues d'oiseaux | 8 cl d'huile d'olive | 2 gousses d'ail émincées | 200 g de poulet coupé en morceau | 1 tomate râpée | 1 c. à thé de concentré de tomate | 1,25 l de bouillon de crevettes ou de poulet | 80 g de carotte coupée en dés | 1 poivron coupé en morceaux | 80 g de petits pois écossés | 80 g de haricots verts coupés en morceaux | 150 g de crevettes décortiquées | 150 g de calamars coupés en anneaux | 1 feuille de laurier | 4 brins de thym | 8 pistils de safran | Sel | Pour servir : | Quartiers de citron | Feuilles de coriandre","Préparation | Dans une poêle à paella, faire revenir les morceaux de poulet avec l'ail, la tomate et le concentré de tomate dans l'huile d'olive pendant 3 à 5 mn. | Mouiller avec le bouillon de crevettes et ajouter la moitié des légumes, des calamars et des crevettes, saler. | A ébullition, ajouter les pâtes, les pistils de safran, les herbes et disposer joliment le reste des légumes et des fruits de mer. | Couvrir la poêle d'une feuille de papier d'aluminium et cuire la paella à feu doux jusqu'à absorption du bouillon. | Servir la paella aussitôt, garnie de quartiers de citron et parsemée de feuilles de coriandre.",False,1|2|3|4|6,3286.54
13,https://www.choumicha.ma/recette/1558-jarret-de-veau-aux-petits-legumes.html,Jarret de veau aux petits légumes,Saveurs du maroc,Plats de viandes,1h 45m,1h 45m,4,750 g de jarret de veau | 1 oignon émincé | 2 gousses d’ail émincées | 1 c. à thé de gingembre | ½ c. à thé de poivre | 1 c. à thé de paprika | Sel | 3 brins de thym frais | 4 c. à soupe d’huile d’olive | 75 cl d’eau | Pour les légumes : | 350 g de petits navets violets | 350 g de petites carottes | 1 petit bouquet de coriandre | ¼ de citron confit,"Préparation | Dans une marmite sur feu doux, faire revenir la viande avec l’oignon et l’ail émincés dans l’huile pendant 2 mn. | Ajouter les épices, le thym, puis mouiller avec l’eau et laisser cuire, à feu doux et à couvert, jusqu’à ce que la viande devienne tendre. | Gratter les petits légumes en gardant les têtes et les placer dans la sauce avec le bouquet de coriandre et le quartier de citron émincé. | Laisser mijoter à couvert jusqu’à cuisson des légumes et réduction de la sauce. | Dresser la viande et les légumes dans un plat préchauffé et les napper de sauce. Servir le plat chaud.",False,1|2|4|5|6,179.65
14,https://www.choumicha.ma/recette/1556-coings-caramelises-facon-crumble.html,Coings caramélisés façon crumble,Saveurs du maroc,Plats principaux,40m,45m,4,4 coings de taille moyenne | Le jus d’un citron | 2 pincées de sel | Pour le caramel : | 150 g de sucre | 100 g de beurre | 4 c. à soupe d’eau de fleurs d’oranger | 1 c. à café de cannelle | Pour le crumble : | 8 biscuits sablés aux amandes | 40 g d’amandes effilées | Pour servir : | Fromage blanc frais fouetté ou crème Chantilly,"Préparation | Laver, couper en quatre et épépiner les coings. | Cuire les quartiers de coings dans une eau bouillante citronnée et légèrement salée pendant 20 à 25 mn, les quartiers de coins doivent rester fermes. Égoutter et réserver. | Dans une poêle sur feu doux, faire fondre le beurre, ajouter le sucre, l’eau de fleurs d’oranger et la cannelle. | Faire caraméliser les coings pendant 10 mn dans cette préparation en les retournant délicatement. | Disposer les quartiers de coing dans des ramequins allant au four et réserver le caramel. | Émietter les biscuits sablés et ajouter les amandes effilées. | Travailler les biscuits émiettés et les amandes avec le caramel des coings. | Saupoudrer les coings du mélange de biscuits et d’amandes. | Faire dorer le plat au four préchauffé à 190°C coté gril, pendant 10 mn environ. | Servir le dessert accompagné de fromage blanc frais fouetté ou de crème Chantilly. | Bon à savoir : | vous pouvez remplacer les coings par des pommes ou des poires, dans ce cas, il faut caraméliser directement les quartiers de fruits sans précuisson dans l’eau.",False,1|2|3|4|5|6,69.8
15,https://www.choumicha.ma/recette/1548-dattes-en-habit-de-fete.html,Dattes en habit de fête,Saveurs du maroc,Plats principaux,0m,30m,6,18 belles dattes charnues | 150 g de pâte d’amandes (Cliquez sur lien dans la préparation) | 100 g de praliné d’amande | 1 c. à soupe d’écorce d’orange confite finement émincée | Pour le décor : | 150 g de chocolat noir | 50 g d’écorce d’orange confite coupée en fines lanières,"Préparation | Dans un bol, mélanger | la pâte d’amande | , le praliné et l’écorce d’orange finement émincée. | En confectionner des boudins de la taille et de la forme des dattes. | Inciser les dattes dans le sens de la longueur, les dénoyauter et les farcir avec les doigts de pâte d’amande. | Dans une casserole, faire fondre le chocolat noir au bain marie. | Y tremper une datte farcie, la déposer sur une plaque tapissée de papier sulfurisé et décorer, avant que le chocolat ne refroidisse, avec une lanière d’écorce d’orange. | Recommencer l’opération jusqu’à épuisement des ingrédients. | Laisser durcir le chocolat avant de servir les dattes.",False,2|3|4|6,1042.47
16,https://www.choumicha.ma/recette/1550-dattes-farcies-au-fromage-et-aux-noix.html,Dattes farcies au fromage et aux noix,Saveurs du maroc,Plats principaux,0m,30m,6,18 belles dattes charnues dénoyautées | 130 g de fromage ricotta | 50 g de roquefort | 1 c. à thé d’huile d’argan | 50 g de noix | Sel et poivre,"Préparation | Fouetter le fromage ricotta avec le roquefort jusqu’à obtention d’un mélange lisse. | Incorporer l’huile d’argan, la moitié des noix concassées, saler et poivrer. | Placer la préparation dans une poche à douille. | Farcir les dattes dénoyautées avec la préparation aux fromages et les garnir avec les noix restantes concassées.",True,1|2|4|6,49.79
17,https://www.choumicha.ma/recette/1552-sorbet-de-lait-damande-a-leau-de-rose.html,Sorbet de lait d’amande à l’eau de rose,Saveurs du maroc,Plats principaux,15m,45m,6,300 g d'amandes mondées | 75 cl d'eau chaude | 2 à 3 c. à soupe d'eau de rose | Pour le sirop : | 160 g de sucre semoule | 15 cl d'eau,"Préparation | Mixer pendant 5mn les amandes mondées avec l’eau chaude, verser dans un bol, filmer et laisser reposer 4h au frais. | Passer le jus obtenu à l’étamine en pressant énergiquement pour extraire le lait d’amande. | Préparer un sirop avec le sucre et l’eau. | Mélanger le lait d’amande avec le sirop, le parfumer à l’eau de rose et le laisser refroidir. | Faire prendre la préparation à la sorbetière. | Servir le sorbet en granité ou en boules dans des coupes glacées.",False,2|5|6,268.89
18,https://www.choumicha.ma/recette/1554-tajine-souiri-mchaber.html,Tajine souiri M’Chaber,Saveurs du maroc,Tajines,0m,0m,4,4 cuisses de poulet coupées en deux ou un poulet coupé en huit morceaux | 2 oignons émincés | 2 gousses d’ail émincées | 3 c. à soupe de persil et de coriandre émincés | 1 c. à thé bombée de gingembre | 1/2 c. à thé de poivre | 1 c. à thé de curcuma | 1 c. à thé de sel | 8 cl d’huile de table | 1 c. à thé de beurre rance | 25 cl d’eau | Pour servir : | 6 œufs | 4 pistils de safran pilés,"Préparation | Dans un grand récipient, faire mariner le poulet dans les épices, les herbes, l’oignon, l’ail et l’huile. | Couvrir d’un film alimentaire et laisser reposer au frais pendant 2 h. | Dans une marmite sur feu doux, déposer le poulet avec sa marinade, ajouter le beurre rance et faire revenir le tout pendant 5 mn en retournant les morceaux de poulet. | Mouiller avec l’eau et laisser cuire à feu moyen jusqu’à cuisson du poulet et réduction de la sauce des 2/3. | Retirer le poulet de la marmite et le disposer dans un tajine ou un plat allant au four. | Dans un bol, battre les œufs en omelette avec la sauce du poulet et le safran. | Verser les œufs sur le poulet. | Placer le tajine sur un brasero (ou feu de charbon), le recouvrir d’une plaque en inox garnie de braises. | Laisser cuire le tajine entre deux feux jusqu’à ce que les œufs prennent et la surface du poulet devienne dorée. | Retirer la plaque et servir le tajine bien chaud. | BON À SAVOIR : | si vous ne disposez pas de brasero, finir la dernière étape de cuisson du tajine au four. | *En arabe, M’Chaber signifie attraper ou prendre, mais ici il veut dire coller. | Dans un tajine M’Chaber, les morceaux de poulet se collent avec l’œuf pour ne former qu’une seule unité. On appelle aussi ce plat, le tajine “Elaâji” qui signifie marbré.",False,1|2|4|5|6,24.49
19,https://www.choumicha.ma/recette/1546-tajine-maqfoul.html,Tajine Maqfoul,Saveurs du maroc,Tajines,1h 30m,1h 45m,4,4 cuisses de poulet | 1 oignon émincé | 2 gousses d’ail émincées | 1 petit bouquet de persil et de coriandre | 1 c. à thé bombée de gingembre | ½ c. à thé de poivre | 1 c. à thé de curcuma | 10 pistils de safran | 1 bâtonnet de cannelle | 4 c. à soupe d’huile d’olive | Sel | 10 cl d’eau | Pour la garniture : | 4 gros oignons coupés en rondelles | 3 tomates coupées en rondelles | 2 c. à soupe de sucre semoule | 1 c. à thé de cannelle en poudre,"Préparation | Dans une marmite large, faire revenir à feu doux, les cuisses de poulet,  l’oignon et l’ail émincés dans l’huile pendant 1 à 2 mn. | Ajouter les épices, le bouquet d’herbes et mouiller avec l’eau, couvrir la marmite et à ébullition, disposer les rondelles d’oignon et de tomate sur les cuisses de poulet. | Couvrir et laisser mijoter jusqu’à cuisson du poulet et réduction complète de la sauce. Dans un tajine ou un plat allant au four, disposer délicatement les cuisses de poulet et les recouvrir d’oignon et de tomate. | Saupoudrer le tout de sucre et de cannelle. Placer le plat au four préchauffé à 200°C près du gril pour caraméliser le dessus. Sortir le plat du four, une fois les légumes dorés et caramélisés. Servir le plat bien chaud. | Bon à savoir : Appelé également Tajine Marrakchi, en référence à la ville de Marrakech, ce plat se cuisine traditionnellement dans un tajine sur un feu de charbon. Pour caraméliser les légumes, on recouvre le tajine avec une plaque sur laquelle on dispose de la braise. Cette méthode, donne un délicieux goût de fumet au plat. Pour varier les plaisirs, le tajine M’qfoul se prépare aussi avec de la viande de veau ou d’agneau.",False,1|2|4|5|6,68.41
20,https://www.choumicha.ma/recette/1542-cafe-aux-epices-ou-cafe-beldi.html,Café aux épices ou café beldi,Saveurs du maroc,Plats principaux,5m,20m,4,350 g de café moulu | ½ c. à thé de cardamome mounue | ¼ de c. à thé de clous de girofle moulu | 2 c. à thé de cannelle moulue | 1 c. à thé de gingembre moulu | ¼ de c. à thé de noix de muscade moulu | 1 badiane (anis étoilée) moulue | 4 pincées de poivre blanc moulu | 30 g de graines de sésame moulues | 20 g d’anis moulu,"Préparation | Mélanger le café moulu avec les épices et le conserver dans une boite métallique. | Déposer l’équivalent de 2 c. à soupe (30 g) de café dans une casserole, ajouter 30 cl d’eau et amener à ébullition sur feu doux. | Baisser complètement le feu et laisser frémir 1 mn. Retirer du feu et laisser le café décanter 1 mn. | Servir le café aux épices avec ou sans sucre selon le goût.",False,2|3|4,582.53
21,https://www.choumicha.ma/recette/1544-the-au-sarfan.html,Thé au sarfan,Saveurs du maroc,Plats principaux,5m,15m,4,50 cl d’eau de source | 5 g de thé vert de Chine (Chun Mee ou Gunpowder) | 10 pistils de safran | Sucre selon le goût,"Préparation | Faire bouillir l’eau. Déposer au fond d’une théière le thé vert et ajouter le | safran | , le sucre selon le goût et l’eau bouillante. | Couvrir et laisser infuser sur un chauffe-théière pendant 5 mn. | Servir le thé au safran chaud.",False,4|5|6,16.76
22,https://www.choumicha.ma/recette/1540-trio-de-riz.html,Trio de riz,Saveurs du maroc,Plats principaux,45m,1h 30m,4,Pour la recette de base du riz cuit : | 150 g de riz à grains ronds | 40 cl d’eau | 30 cl de lait | 1 c. à café de sel | Pour le riz au yaourt : | 220 g de riz cuit froid | 100 g de yaourt velouté nature | 3 c. à soupe de miel | 2 c. à soupe d’eau de fleurs d’oranger | Pour le décor : | Coulis de fraises ou fraises écrasées | Pour le riz au Chocolat : | 220 g de riz cuit chaud | 100 g de chocolat noir râpé | 20 g d’écorce d’orange confite râpée | Pour le décor : | Ecorce d’orange confite coupée en julienne | Pour le riz au caramel : | 220 g de riz cuit chaud | 50 g de caramel de lait concentré sucré (Nestlé) | 2 c. à soupe de crème fraîche | Pour le décor : | 2 dattes coupées en lanières | Amandes concassées grillées,"Préparation | PRÉPARATION DU RIZ CUIT AU LAIT : | Laver le riz et l’égoutter. Dans une casserole sur feu doux, faire cuire le riz dans l’eau salée jusqu’à évaporation du liquide. Incorporer le lait et laisser mijoter le riz à feu doux jusqu’à ce qu’il absorbe le lait et devienne fondant. Retirer le riz du feu et le diviser en trois parts égales. | POUR LE RIZ AU YAOURT : | Mélanger le riz cuit froid avec le yaourt, l’eau de fleurs d’oranger et le miel. Le dresser dans des verrines et le garnir de coulis de fraises. | POUR LE RIZ AU CHOCOLAT : | Mélanger le riz cuit chaud avec le chocolat noir râpé et l’écorce d’orange confite râpée. Dresser dans des verrines et décorer avec la julienne d’écorce d’orange confite. Servir tiède. | POUR LE RIZ AU CARAMEL : | Mélanger le riz cuit chaud avec le caramel de lait concentré sucré et la crème fraîche. Dresser le riz dans des verrines et le servir frais garni d’amandes concassées et de lanières de dattes.",True,1|2|3|4|5|6,1202.03
